clause_id,num_questions,retries,provider,model,tokens_req,tokens_resp,elapsed_ms
경구용-만성-b형간염치료제_4de1873e_p1,15,0,openai,gpt-4o-mini,1079,151,6015
간장용제_b54ee5da,15,0,openai,gpt-4o-mini,421,162,6296
경구용-뇌대사개선제-neuroprotective-agents_e2d6e30f,15,0,openai,gpt-4o-mini,304,145,6311
경구용-항뇌전증약_007a2e28,15,0,openai,gpt-4o-mini,335,152,6858
경구용-서방형제제-정제-캡슐제-과립제-분할-처방투여-기준_e6238925,12,0,openai,gpt-4o-mini,268,150,7000
경구용-만성-b형간염치료제_4de1873e_p2,15,0,openai,gpt-4o-mini,917,168,8483
경구용-항혈전제-항혈소판제-및-heparinoid-제제_98eb9ea0,15,0,openai,gpt-4o-mini,878,153,5420
고혈압약제_f7a7936d,15,0,openai,gpt-4o-mini,715,155,6452
고가의약품-급여관리에-관한-기준_bf30a270,15,0,openai,gpt-4o-mini,539,133,7047
고지혈증치료제_bf0f0df7,14,0,openai,gpt-4o-mini,274,151,7157
국민건강보험-요양급여의-기준에-관한-규칙-제5조제4항에-의하여-중증환자-_4dac691b,15,0,openai,gpt-4o-mini,461,132,6016
골다공증치료제_06e81f46,15,0,openai,gpt-4o-mini,828,159,7952
국소지혈제_827be480,15,0,openai,gpt-4o-mini,560,121,5438
뇌대사제제-및-뇌순환계용약-주사제_5e5af17c,15,0,openai,gpt-4o-mini,245,144,6156
내용액제-시럽-및-현탁액-등_11d9589e,12,0,openai,gpt-4o-mini,290,184,6906
당뇨병용제_d8ec4638_p1,15,0,openai,gpt-4o-mini,568,164,6625
당뇨병용제_d8ec4638_p3,15,0,openai,gpt-4o-mini,651,121,4765
기관지천식-치료용흡입제_fd002e6b,15,0,openai,gpt-4o-mini,279,163,9063
당뇨병용제_d8ec4638_p2,15,0,openai,gpt-4o-mini,909,174,7530
마약성-진통제_734bf09b,16,0,openai,gpt-4o-mini,477,166,7515
비결핵항산균-ntm-non-tuberculous-mycobacteria-_470ebd4e,12,0,openai,gpt-4o-mini,658,137,5375
동일성분-의약품-중복처방-관리에-관한-기준_19350e6f,15,0,openai,gpt-4o-mini,367,145,8718
보조생식술에-사용되는-호르몬-약제_006bcf99,15,0,openai,gpt-4o-mini,446,171,6171
병용금기-성분-특정연령대-금기-성분-및-임부금기-성분_ef79b2ea,15,0,openai,gpt-4o-mini,420,178,7045
메르스-코로나바이러스-mers-cov-및-코로나바이러스-감염증-19-co_44942795,15,0,openai,gpt-4o-mini,715,189,7780
비용효과적인-함량-의약품-사용_a1ff2e03,15,0,openai,gpt-4o-mini,307,123,5640
비타민제_718538bc,15,0,openai,gpt-4o-mini,236,144,6391
주사제의-자가주사-및-장기처방_d10963ea,14,0,openai,gpt-4o-mini,248,149,5672
요오드-조영제_c3c4a91a,15,0,openai,gpt-4o-mini,276,161,7016
암질환이-아닌-환자에서의-조혈모세포이식-전처치요법-conditioning_57a413c6,15,0,openai,gpt-4o-mini,277,152,7500
안연고_71d95412,15,0,openai,gpt-4o-mini,243,140,7859
진해거담제_c3af7c35,15,0,openai,gpt-4o-mini,319,142,5984
폐경기증후군에-투여하는-약제_8a1ee62b,15,0,openai,gpt-4o-mini,239,145,6530
폐경-후-호르몬요법-인정기준_356f508d,15,0,openai,gpt-4o-mini,307,125,6890
항생제_1fcc6be9,15,0,openai,gpt-4o-mini,260,130,5155
폐동맥고혈압-약제_f4237727,15,0,openai,gpt-4o-mini,688,169,6530
항파킨슨-약제_629064fb,15,0,openai,gpt-4o-mini,343,152,5062
항생제-및-항원충제_2f475ec0,15,0,openai,gpt-4o-mini,398,195,7295
항진균제_a5590977,15,0,openai,gpt-4o-mini,790,177,6625
향정신성약물_562cf9d7,15,0,openai,gpt-4o-mini,451,186,7266
허가-또는-신고범위-초과-약제-비급여-사용승인에-관한-기준-및-절차_3feced53,14,0,openai,gpt-4o-mini,264,180,6437
필수경구약제_de4e7c5e,20,0,openai,gpt-4o-mini,365,179,14203
probiotics-정장생균제_67580bf1,15,0,openai,gpt-4o-mini,299,164,4984
흡입마취에-사용되는-약제_5449548c,14,0,openai,gpt-4o-mini,353,162,7062
111.0_propofol-주사제-품명-포폴주사-등,15,0,openai,gpt-4o-mini,350,164,6000
111.0_etomidate-주사제-품명-에토미데이트리푸로주,15,0,openai,gpt-4o-mini,301,164,7516
111.0_ketamine-hcl-주사제-품명-휴온스-염산케타민주-등,13,0,openai,gpt-4o-mini,336,175,7250
113.0_cannabidiol-품명-에피디올렉스-내복액,14,0,openai,gpt-4o-mini,486,176,5844
112.0_midazolam-주사제-품명-바스캄주-등,14,0,openai,gpt-4o-mini,440,173,7875
113.0_carbamazepine-경구제-품명-테그레톨정-등,15,0,openai,gpt-4o-mini,253,162,7062
113.0_gabapentin-경구제-품명-뉴론틴캡슐-등,15,0,openai,gpt-4o-mini,437,193,7218
113.0_lamotrigine-경구제-품명-라믹탈정-등,15,0,openai,gpt-4o-mini,264,168,6671
113.0_clonazepam-경구제-품명-리보트릴정-등,14,0,openai,gpt-4o-mini,255,213,9625
113.0_levetiracetam-주사제-품명-큐팜주사500-밀리그램-등,15,0,openai,gpt-4o-mini,332,149,7687
113.0_rufinamide-경구제-품명-이노베론필름코팅정-100mg-등,15,0,openai,gpt-4o-mini,259,197,7702
113.0_sodium-valproate-주사제-품명-데파킨주-등,15,0,openai,gpt-4o-mini,321,204,5969
113.0_stiripentol-경구제-품명-디아코미트,15,0,openai,gpt-4o-mini,332,183,6500
113.0_tetrabenazine-경구제-품명-세나진정,15,0,openai,gpt-4o-mini,280,205,8781
114.0_편두통-치료제,15,0,openai,gpt-4o-mini,305,134,5577
113.0_primidone-경구제-품명-대웅프리미돈정,15,0,openai,gpt-4o-mini,273,162,17718
114.0_celecoxib-경구제-품명-쎄레브렉스캡슐-200밀리그람-등,15,0,openai,gpt-4o-mini,299,175,7375
114.0_자오가우슬방풍두충-구척흑두-건조엑스201300mg-품명-신바로캡슐-등,14,0,openai,gpt-4o-mini,259,256,12952
114.0_celecoxib-당귀목과방풍속단-오가피우슬위령선육계진교천궁천마홍화-25,13,0,openai,gpt-4o-mini,319,225,11062
114.0_etoricoxib-경구제-품명-알콕시아정-30밀리그램-등,12,0,openai,gpt-4o-mini,284,227,7858
114.0_loxoprofen-sodium-60mg-경구제-품명-동화록소닌정-등,14,0,openai,gpt-4o-mini,284,203,7422
114.0_methotrexate-프리필드시린지-주사제-품명-메토젝트주,14,0,openai,gpt-4o-mini,341,211,6812
114.0_polmacoxib-경구제-품명-아셀렉스캡슐-2밀리그램-등,15,0,openai,gpt-4o-mini,284,160,7109
117.0_agomelatine-경구제-품명-아고틴정-25밀리그램,15,0,openai,gpt-4o-mini,396,156,6030
115.0_methylphenidate-hcl-서방형-경구제-품명-콘서타-oros-,15,0,openai,gpt-4o-mini,415,247,9077
115.0_methylphenidate-hcl-일반형-경구제-품명-페니드정-10밀리,15,0,openai,gpt-4o-mini,403,221,9359
114.0_propacetamol-hcl-주사제-품명-데노간주-등,15,0,openai,gpt-4o-mini,285,228,12655
117.0_blonanserin-경구제-품명-로나센정-2밀리그램-등,15,0,openai,gpt-4o-mini,242,225,8155
117.0_bupropion-100mg-경구제-품명-웰정,14,0,openai,gpt-4o-mini,266,198,6125
117.0_bupropion-hcl-150mg-경구제-품명-웰부트린서방정-등,15,0,openai,gpt-4o-mini,293,190,7265
117.0_clozapine-경구제-품명-클로자릴정-등,12,0,openai,gpt-4o-mini,420,207,8031
117.0_desvenlafaxine-경구제-품명-프리스틱-서방정-등,15,0,openai,gpt-4o-mini,391,212,8016
117.0_duloxetine-경구제-품명-심발타캡슐-등,15,0,openai,gpt-4o-mini,589,186,7375
117.0_fluvoxamine-maleate-품명-듀미록스정-imipramine-,15,0,openai,gpt-4o-mini,535,177,8438
117.0_paliperidone-palmitate-주사제-품명-인베가서스티나-주사,15,0,openai,gpt-4o-mini,275,198,5077
117.0_levomepromazine-maleate-경구제-품명-티세르신정,13,0,openai,gpt-4o-mini,271,250,8359
117.0_aripiprazole-주사제-품명-아빌리파이메인테나주-사-300밀리그램,13,0,openai,gpt-4o-mini,284,177,22359
117.0_lorazepam-주사제-품명-아티반주,15,0,openai,gpt-4o-mini,254,188,7405
117.0_quetiapine-fumarate-경구제-품명-쎄로켈정-등,15,0,openai,gpt-4o-mini,300,170,8047
117.0_risperidone-주사제-품명-리스페달콘스타-주사,15,0,openai,gpt-4o-mini,276,154,6500
117.0_sertraline-hcl-품명-졸로푸트정-등-paroxetine-hcl,15,0,openai,gpt-4o-mini,544,190,8109
117.0_vortioxetine-hydrobromide-경구제-품명-브린텔릭스정-,15,0,openai,gpt-4o-mini,410,167,6625
117.0_tandospirone-경구제-품명-세디엘정,14,0,openai,gpt-4o-mini,286,231,8890
119.0_alemtuzumab-주사제-품명-렘트라다주,15,0,openai,gpt-4o-mini,367,187,6827
117.0_sulpiride-경구제-품명-설피딘정-등,15,0,openai,gpt-4o-mini,251,188,11625
117.0_venlafaxine-hcl-서방경구제-품명-이팩사엑스알서방캅셀-등,15,0,openai,gpt-4o-mini,434,215,11500
119.0_amantadine-경구제-품명-피케이멜즈정-등,14,0,openai,gpt-4o-mini,258,214,8920
119.0_atomoxetine-hcl-경구제-품명-스트라테라캡슐-등,15,0,openai,gpt-4o-mini,390,188,7172
119.0_amantadine-주사제-품명-피케이멜즈인퓨전주,14,0,openai,gpt-4o-mini,248,180,8187
119.0_cladribine-경구제-품명-마벤클라드정,15,0,openai,gpt-4o-mini,321,195,7875
119.0_clonidine-hydrochloride-경구제-품명-웹베이서방정-01,14,0,openai,gpt-4o-mini,382,221,7702
119.0_donepezil-경구제-품명-아리셉트정-등-패취제-품명-도네리온패취-등,15,0,openai,gpt-4o-mini,521,189,7079
119.0_dimethyl-fumarate-경구제-품명-텍피데라캡슐,15,0,openai,gpt-4o-mini,403,204,11297
119.0_fremanezumab-주사제-품명-아조비오토인젝터주-아조비프리필드시린지,15,0,openai,gpt-4o-mini,515,188,6812
119.0_galantamine-경구제-품명-레미닐피알-서방캡슐-등,15,0,openai,gpt-4o-mini,382,189,6765
119.0_galcanezumab-주사제-품명-앰젤러티120밀리그램-밀리리터프리필드,15,0,openai,gpt-4o-mini,521,199,7234
119.0_fingolimod-hcl-경구제-품명-피타렉스캡슐-05밀리그램,15,0,openai,gpt-4o-mini,446,184,13672
119.0_memantine-경구제-품명-에빅사액-등-에빅사정-등,15,0,openai,gpt-4o-mini,442,174,6594
119.0_glatiramer-acetate-주사제-품명-코팍손프리-필드주-20mg,15,0,openai,gpt-4o-mini,413,216,7984
119.0_nusinersen-sodium-주사제-품명-스핀라자주,14,0,openai,gpt-4o-mini,721,204,7000
119.0_modafinil-200mg-경구제-품명-프로비질정-등-armodafin,15,0,openai,gpt-4o-mini,400,230,8375
119.0_pregabalin-서방형-경구제-품명-리리카-cr-서방정-등,15,0,openai,gpt-4o-mini,344,193,7109
119.0_pregabalin-일반형-경구제-품명-리리카캡슐-등,15,0,openai,gpt-4o-mini,530,171,7343
119.0_pitolisant-hydrochloride-경구제-품명-와킥스필름코팅정,14,0,openai,gpt-4o-mini,385,205,12000
119.0_satralizumab-주사제-품명-엔스프링프리필드시린-지주,15,0,openai,gpt-4o-mini,511,191,6359
119.0_rivastigmine-제제-품명-엑셀론캡슐-엑셀론패취-등,15,0,openai,gpt-4o-mini,598,181,7952
119.0_risdiplam-경구제-품명-에브리스디건조시럽,15,0,openai,gpt-4o-mini,794,188,8811
121.0_levobupivacaine-hcl-25mg-주사제-품명-카이로케인주,15,0,openai,gpt-4o-mini,275,205,7765
121.0_lidocaine-hcl-주사제-품명-휴온스-리도카인-염산염-수화물주사-,14,0,openai,gpt-4o-mini,314,204,7797
119.0_teriflunomide-경구제-품명-오바지오필름-코팅정-등,15,0,openai,gpt-4o-mini,405,216,8890
122.0_atracurium-besylate-주사제-품명-아트라주-등,14,0,openai,gpt-4o-mini,315,212,8092
122.0_baclofen-주사제-품명-리오레살주-10mg5ml,15,0,openai,gpt-4o-mini,343,167,7390
122.0_eperisone-hydrochloride-경구제-품명-뮤렉스정-등,12,0,openai,gpt-4o-mini,270,254,9469
123.0_bethanechol-chloride-경구제-품명-마이토닌정-등,14,0,openai,gpt-4o-mini,261,233,7171
124.0_hyoscine-butylbromide-주사제-품명-프리판주-등,14,0,openai,gpt-4o-mini,261,207,6250
123.0_glycopyrrolate-주사제-품명-모비눌주-등,15,0,openai,gpt-4o-mini,258,219,7905
123.0_oxybutynin-경구제-품명-동화디트로판정-등,13,0,openai,gpt-4o-mini,256,213,8359
129.0_tafamidis-meglumine-경구제-품명-빈다켈캡슐-20밀리그램,14,0,openai,gpt-4o-mini,406,208,7297
131.0_cyclosporin-005-외용제-품명-레스타시스점안액-등,15,0,openai,gpt-4o-mini,296,177,6890
131.0_dexamethasone-700-이식제-품명-오저덱스이식제-700,15,0,openai,gpt-4o-mini,401,210,6937
131.0_omidenepag-isopropyl-외용제-품명-에이베리스-점안액000,10,0,openai,gpt-4o-mini,253,134,6547
131.0_natamycin-외용제-품명-나타신점안현탁액,14,0,openai,gpt-4o-mini,260,208,6936
131.0_cyclosporin-01-외용제-품명-아이커비스점안액,13,0,openai,gpt-4o-mini,286,241,11344
131.0_rebamipide-01g5ml-외용제-품명-레바아이점안액2-등-레바아이,15,0,openai,gpt-4o-mini,274,132,5625
131.0_tafluprost-외용제-품명-타플로탄점안액-00015-등,14,0,openai,gpt-4o-mini,248,121,5687
131.0_bilberry-fruit-dried-ext-경구제-품명-알코딘연질캡슐-,10,0,openai,gpt-4o-mini,268,276,18859
131.0_tosufloxacin-tosylate-외용제-품명-동아오젝스-점안액,14,0,openai,gpt-4o-mini,322,256,8516
131.0_sodium-hyaluronate-18mg10ml-외용제-품명-비스메드점,10,0,openai,gpt-4o-mini,279,267,11203
131.0_triamcinolone-acetonide-주사제-품명-마카이드주,14,0,openai,gpt-4o-mini,316,225,7640
131.0_verteporfin-주사제-품명-비쥬다인주,15,0,openai,gpt-4o-mini,417,182,7797
131.0_voretigene-neparvovec-주사제-품명-럭스터나주,12,0,openai,gpt-4o-mini,639,218,7967
132.0_ciprofloxacin-hcl-dexamethasone-외용제-품명-실,12,0,openai,gpt-4o-mini,261,247,7687
132.0_fluticasone-furoate-외용제-품명-아바미스나잘스프레이,15,0,openai,gpt-4o-mini,256,251,9155
132.0_olopatadine-mometasone-furoate-외용제-품명-리알,15,0,openai,gpt-4o-mini,261,217,7453
132.0_micronized-ciclesonide-외용제-품명-옴나리스나잘스프레이,15,0,openai,gpt-4o-mini,277,246,7968
141.0_desloratadine-경구제-품명-에리우스정,13,0,openai,gpt-4o-mini,245,227,10141
141.0_rupatadine-경구제-품명-루파핀정,13,0,openai,gpt-4o-mini,239,195,7687
142.0_basiliximab-주사제-품명-씨뮬렉트주사,15,0,openai,gpt-4o-mini,324,167,5156
