row_id,row_idx,main_name,brand_count,questions_generated,attempt_count,elapsed_ms,provider,model,success
row_3,3,[일반원칙] 경구용 서방형제제,0,7,3,25829,openai,gpt-4o-mini,True
row_2,2,[일반원칙] 경구용 만성 B형간염치료제,0,7,3,43551,openai,gpt-4o-mini,True
row_5,5,[일반원칙] 경구용 항혈전제,0,7,3,48229,openai,gpt-4o-mini,True
row_0,0,[일반원칙] 간장용제,0,7,3,60270,openai,gpt-4o-mini,True
row_1,1,[일반원칙] 경구용 뇌대사개선제,0,7,3,64065,openai,gpt-4o-mini,True
row_4,4,[일반원칙] 경구용 항뇌전증약,0,7,3,67081,openai,gpt-4o-mini,True
row_7,7,[일반원칙] 고지혈증치료제,0,7,3,23946,openai,gpt-4o-mini,True
row_12,12,[일반원칙] 기관지천식 치료용흡입제,0,7,3,31234,openai,gpt-4o-mini,True
row_9,9,[일반원칙] 골다공증치료제,0,7,3,39843,openai,gpt-4o-mini,True
row_8,8,[일반원칙] 고혈압약제,0,7,3,70611,openai,gpt-4o-mini,True
row_14,14,[일반원칙] 뇌대사제제 및 뇌순환계용약 주사제,0,7,3,26960,openai,gpt-4o-mini,True
row_6,6,[일반원칙] 고가의약품 급여관리에 관한 기준,0,7,3,126254,openai,gpt-4o-mini,True
row_15,15,[일반원칙] 당뇨병용제,0,7,3,37444,openai,gpt-4o-mini,True
row_16,16,[일반원칙] 동일성분 의약품 중복처방 관리에 관한 기준,0,7,3,41343,openai,gpt-4o-mini,True
row_10,10,[일반원칙] 국민건강보험 요양급여의 기준에 관한 규칙 제5조제4항에 의하여 중증환자 중 암환자에게 처방·투여하는 약제로서 건강보험심사평가원장이 정하여 공고하는 약제의 범위 및 비용부담,0,7,3,104806,openai,gpt-4o-mini,True
row_11,11,[일반원칙] 국소지혈제,0,7,3,103777,openai,gpt-4o-mini,True
row_13,13,[일반원칙] 내용액제,0,7,3,74858,openai,gpt-4o-mini,True
row_22,22,[일반원칙] 비용효과적인 함량 의약품 사용,0,7,3,39726,openai,gpt-4o-mini,True
row_23,23,[일반원칙] 비타민제,0,7,3,15832,openai,gpt-4o-mini,True
row_18,18,[일반원칙] 메르스 코로나바이러스,0,7,3,76891,openai,gpt-4o-mini,True
row_25,25,[일반원칙] 암질환이 아닌 환자에서의 조혈모세포이식 전처치요법,0,7,3,23421,openai,gpt-4o-mini,True
row_21,21,[일반원칙] 비결핵항산균,0,7,3,97740,openai,gpt-4o-mini,True
row_17,17,[일반원칙] 마약성 진통제,0,7,3,118474,openai,gpt-4o-mini,True
row_19,19,"[일반원칙] 병용금기 성분, 특정연령대 금기 성분 및 임부금기 성분",0,7,3,113887,openai,gpt-4o-mini,True
row_20,20,[일반원칙] 보조생식술에 사용되는 호르몬 약제,0,7,3,114085,openai,gpt-4o-mini,True
row_28,28,[일반원칙] 진해거담제,0,7,3,27839,openai,gpt-4o-mini,True
row_24,24,[일반원칙] 안연고,0,7,3,87256,openai,gpt-4o-mini,True
row_29,29,[일반원칙] 폐경 후 호르몬요법 인정기준,0,7,3,53840,openai,gpt-4o-mini,True
row_31,31,[일반원칙] 폐동맥고혈압 약제,0,7,3,42137,openai,gpt-4o-mini,True
row_32,32,[일반원칙] 필수경구약제,0,7,3,33955,openai,gpt-4o-mini,True
row_30,30,[일반원칙] 폐경기증후군에 투여하는 약제,0,7,3,68789,openai,gpt-4o-mini,True
row_33,33,[일반원칙] 항생제,0,7,3,26795,openai,gpt-4o-mini,True
row_26,26,[일반원칙] 요오드 조영제,0,7,3,113222,openai,gpt-4o-mini,True
row_27,27,[일반원칙] 주사제의 자가주사 및 장기처방,0,7,3,104669,openai,gpt-4o-mini,True
row_36,36,[일반원칙] 항파킨슨 약제,0,7,3,25505,openai,gpt-4o-mini,True
row_34,34,[일반원칙] 항생제 및 항원충제,0,7,3,39357,openai,gpt-4o-mini,True
row_38,38,[일반원칙] 허가 또는 신고범위 초과 약제 비급여 사용승인에 관한 기준 및 절차,0,7,3,26537,openai,gpt-4o-mini,True
row_35,35,[일반원칙] 항진균제,0,7,3,54055,openai,gpt-4o-mini,True
row_41,41,Etomidate 주사제,1,10,3,31187,openai,gpt-4o-mini,True
row_37,37,[일반원칙] 향정신성약물,0,7,3,71623,openai,gpt-4o-mini,True
row_42,42,Ketamine HCl 주사제,1,10,3,48426,openai,gpt-4o-mini,True
row_43,43,Propofol 주사제,1,10,3,45684,openai,gpt-4o-mini,True
row_44,44,Midazolam 주사제,1,10,3,46656,openai,gpt-4o-mini,True
row_40,40,[일반원칙] Probiotics,0,7,3,95315,openai,gpt-4o-mini,True
row_46,46,Carbamazepine 경구제,1,10,3,32924,openai,gpt-4o-mini,True
row_39,39,[일반원칙] 흡입마취에 사용되는 약제,0,7,3,104532,openai,gpt-4o-mini,True
row_47,47,Clonazepam 경구제,1,10,3,42740,openai,gpt-4o-mini,True
row_51,51,Primidone 경구제,1,10,3,17613,openai,gpt-4o-mini,True
row_45,45,Cannabidiol,1,10,3,61028,openai,gpt-4o-mini,True
row_48,48,Gabapentin 경구제,1,10,3,41793,openai,gpt-4o-mini,True
row_49,49,Lamotrigine 경구제,1,10,3,45262,openai,gpt-4o-mini,True
row_53,53,Sodium valproate 주사제,1,10,3,71253,openai,gpt-4o-mini,True
row_54,54,Stiripentol 경구제,1,10,3,79095,openai,gpt-4o-mini,True
row_56,56,자오가·우슬·방풍·두충 ·구척·흑두 건조엑스,1,10,3,60333,openai,gpt-4o-mini,True
row_55,55,Tetrabenazine 경구제,1,10,3,80719,openai,gpt-4o-mini,True
row_52,52,Rufinamide 경구제,1,10,3,88871,openai,gpt-4o-mini,True
row_50,50,Levetiracetam 주사제,1,10,3,104576,openai,gpt-4o-mini,True
row_57,57,편두통 치료제,0,7,3,38097,openai,gpt-4o-mini,True
row_59,59,Celecoxib 경구제,1,10,3,44346,openai,gpt-4o-mini,True
row_62,62,Methotrexate 프리필드시린지 주사제,1,10,3,44015,openai,gpt-4o-mini,True
row_61,61,Loxoprofen sodium 60mg 경구제,1,10,3,74658,openai,gpt-4o-mini,True
row_58,58,Celecoxib + 당귀·목과·방풍·속단· 오가피·우슬·위령선·육계·진교·천궁·천마·홍화 25% ethanol soft ext.,1,10,3,81688,openai,gpt-4o-mini,True
row_60,60,Etoricoxib 경구제,1,10,3,77079,openai,gpt-4o-mini,True
row_63,63,Polmacoxib 경구제,1,10,3,60394,openai,gpt-4o-mini,True
row_68,68,Aripiprazole 주사제,1,10,3,20257,openai,gpt-4o-mini,True
row_64,64,Propacetamol HCl 주사제,1,10,3,76193,openai,gpt-4o-mini,True
row_67,67,Agomelatine 경구제,1,10,3,46802,openai,gpt-4o-mini,True
row_70,70,Bupropion 100mg 경구제,1,10,3,41087,openai,gpt-4o-mini,True
row_65,65,Methylphenidate HCl 서방형 경구제,1,10,3,96054,openai,gpt-4o-mini,True
row_69,69,Blonanserin 경구제,1,10,3,68577,openai,gpt-4o-mini,True
row_66,66,Methylphenidate HCl 일반형 경구제,1,10,3,84423,openai,gpt-4o-mini,True
row_71,71,Bupropion HCl 150mg 경구제,1,10,3,58641,openai,gpt-4o-mini,True
row_74,74,Duloxetine 경구제,1,10,3,43163,openai,gpt-4o-mini,True
row_72,72,Clozapine 경구제,1,10,3,79916,openai,gpt-4o-mini,True
row_76,76,Levomepromazine maleate 경구제,1,10,3,42635,openai,gpt-4o-mini,True
row_73,73,Desvenlafaxine 경구제,1,10,3,78811,openai,gpt-4o-mini,True
row_78,78,Paliperidone palmitate 주사제,1,10,3,32441,openai,gpt-4o-mini,True
row_77,77,Lorazepam 주사제,1,10,3,41747,openai,gpt-4o-mini,True
row_75,75,Fluvoxamine maleate,1,10,3,70348,openai,gpt-4o-mini,True
row_79,79,Quetiapine fumarate 경구제,1,10,3,46004,openai,gpt-4o-mini,True
row_83,83,Tandospirone 경구제,1,10,3,42128,openai,gpt-4o-mini,True
row_81,81,Sertraline HCl,1,10,3,56278,openai,gpt-4o-mini,True
row_82,82,Sulpiride 경구제,1,10,3,76636,openai,gpt-4o-mini,True
row_85,85,Vortioxetine hydrobromide 경구제,1,10,3,49049,openai,gpt-4o-mini,True
row_84,84,Venlafaxine HCl 서방경구제,1,10,3,76697,openai,gpt-4o-mini,True
row_80,80,Risperidone 주사제,1,10,3,104757,openai,gpt-4o-mini,True
row_87,87,Amantadine 경구제,1,10,3,35042,openai,gpt-4o-mini,True
row_86,86,Alemtuzumab 주사제,1,10,3,67860,openai,gpt-4o-mini,True
row_90,90,Cladribine 경구제,1,10,3,37175,openai,gpt-4o-mini,True
row_89,89,Atomoxetine HCl 경구제,1,10,3,44754,openai,gpt-4o-mini,True
row_92,92,Dimethyl fumarate 경구제,1,10,3,60678,openai,gpt-4o-mini,True
row_91,91,Clonidine hydrochloride 경구제,1,10,3,65637,openai,gpt-4o-mini,True
row_88,88,Amantadine 주사제,1,10,3,79407,openai,gpt-4o-mini,True
row_95,95,Fremanezumab 주사제,1,10,3,44019,openai,gpt-4o-mini,True
row_96,96,Galantamine 경구제,1,10,3,40622,openai,gpt-4o-mini,True
row_93,93,Donepezil 경구제,1,10,3,90537,openai,gpt-4o-mini,True
row_99,99,Memantine 경구제,1,10,3,37237,openai,gpt-4o-mini,True
row_94,94,Fingolimod HCl 경구제,1,10,3,88439,openai,gpt-4o-mini,True
row_101,101,Nusinersen sodium 주사제,1,10,3,39040,openai,gpt-4o-mini,True
row_97,97,Galcanezumab 주사제,2,10,3,86560,openai,gpt-4o-mini,True
row_103,103,Pregabalin 서방형 경구제,1,10,3,39076,openai,gpt-4o-mini,True
row_100,100,Modafinil 200mg 경구제,1,10,3,57787,openai,gpt-4o-mini,True
row_98,98,Glatiramer acetate 주사제,2,10,3,107865,openai,gpt-4o-mini,True
row_106,106,Rivastigmine 제제,1,10,3,25535,openai,gpt-4o-mini,True
row_108,108,Teriflunomide 경구제,1,10,3,25106,openai,gpt-4o-mini,True
row_107,107,Satralizumab 주사제,1,10,3,39924,openai,gpt-4o-mini,True
row_102,102,Pitolisant hydrochloride 경구제,1,10,3,86966,openai,gpt-4o-mini,True
row_109,109,Levobupivacaine HCl 25mg 주사제,1,10,3,21984,openai,gpt-4o-mini,True
row_105,105,Risdiplam 경구제,1,10,3,69865,openai,gpt-4o-mini,True
row_104,104,Pregabalin 일반형 경구제,1,10,3,73951,openai,gpt-4o-mini,True
row_113,113,Eperisone hydrochloride 경구제,1,10,3,36763,openai,gpt-4o-mini,True
row_112,112,baclofen 주사제,2,10,3,42700,openai,gpt-4o-mini,True
row_114,114,Bethanechol chloride 경구제,1,10,3,25079,openai,gpt-4o-mini,True
row_115,115,Glycopyrrolate 주사제,1,10,3,31939,openai,gpt-4o-mini,True
row_117,117,Hyoscine butylbromide 주사제,1,10,3,29265,openai,gpt-4o-mini,True
row_118,118,Tafamidis meglumine 경구제,1,10,3,35764,openai,gpt-4o-mini,True
row_111,111,Atracurium besylate 주사제,1,10,3,83353,openai,gpt-4o-mini,True
row_110,110,Lidocaine HCl 주사제,1,10,3,94949,openai,gpt-4o-mini,True
row_119,119,Bilberry fruit dried ext. 경구제,1,10,3,40433,openai,gpt-4o-mini,True
row_120,120,Cyclosporin 0.05% 외용제,1,10,3,29245,openai,gpt-4o-mini,True
row_121,121,Cyclosporin 0.1% 외용제,1,10,3,36440,openai,gpt-4o-mini,True
row_116,116,Oxybutynin 경구제,1,10,3,86935,openai,gpt-4o-mini,True
row_123,123,Natamycin 외용제,1,10,3,34869,openai,gpt-4o-mini,True
row_122,122,Dexamethasone 700㎍ 이식제,1,10,3,56443,openai,gpt-4o-mini,True
row_124,124,Omidenepag isopropyl 외용제,1,10,3,50133,openai,gpt-4o-mini,True
row_125,125,Rebamipide 0.1g/5ml 외용제,1,10,3,57740,openai,gpt-4o-mini,True
row_127,127,Tafluprost 외용제,1,10,3,40575,openai,gpt-4o-mini,True
row_130,130,Verteporfin 주사제,1,10,3,39887,openai,gpt-4o-mini,True
row_126,126,Sodium hyaluronate 18mg/10ml 외용제,1,10,3,78379,openai,gpt-4o-mini,True
row_128,128,Tosufloxacin tosylate 외용제,1,10,3,81151,openai,gpt-4o-mini,True
row_131,131,Voretigene neparvovec 주사제,1,10,3,48239,openai,gpt-4o-mini,True
row_129,129,Triamcinolone acetonide 주사제,1,10,3,77087,openai,gpt-4o-mini,True
row_133,133,Fluticasone furoate 외용제,1,10,3,32004,openai,gpt-4o-mini,True
row_134,134,Micronized ciclesonide 외용제,1,10,3,26019,openai,gpt-4o-mini,True
row_138,138,Rupatadine 경구제,1,10,3,17025,openai,gpt-4o-mini,True
row_135,135,olopatadine + mometasone furoate 외용제,1,10,3,26295,openai,gpt-4o-mini,True
row_132,132,Ciprofloxacin HCl + Dexamethasone 외용제,1,10,3,71605,openai,gpt-4o-mini,True
row_137,137,Piprinhydrinate 제제,1,10,3,39189,openai,gpt-4o-mini,True
row_136,136,Desloratadine 경구제,1,10,3,54667,openai,gpt-4o-mini,True
row_139,139,Abrocitinib 경구제,1,10,3,42692,openai,gpt-4o-mini,True
row_141,141,Basiliximab 주사제,1,10,3,54314,openai,gpt-4o-mini,True
row_142,142,Belimumab 주사제,1,10,3,56280,openai,gpt-4o-mini,True
row_145,145,Deucravacitinib 경구제,1,10,3,31948,openai,gpt-4o-mini,True
row_140,140,Baricitinib 경구제,1,10,3,69447,openai,gpt-4o-mini,True
row_143,143,Cyclosporine 경구제,1,10,3,55706,openai,gpt-4o-mini,True
row_144,144,Cyclosporine 주사제,1,10,3,49739,openai,gpt-4o-mini,True
row_148,148,Everolimus 경구제,1,10,3,41234,openai,gpt-4o-mini,True
row_150,150,Golimumab 주사제,1,10,3,30796,openai,gpt-4o-mini,True
row_146,146,Dimethyl fumarate 경구제,1,10,3,57643,openai,gpt-4o-mini,True
row_151,151,Guselkumab 주사제,1,10,3,44449,openai,gpt-4o-mini,True
row_149,149,Filgotinib 경구제,1,10,3,56314,openai,gpt-4o-mini,True
row_153,153,Leflunomide 경구제,1,10,3,25176,openai,gpt-4o-mini,True
row_147,147,Dupilumab 주사제,1,10,3,72214,openai,gpt-4o-mini,True
row_154,154,Mycophenolate mofetil 경구제,1,10,3,28477,openai,gpt-4o-mini,True
row_156,156,Ozanimod 경구제,1,10,3,23204,openai,gpt-4o-mini,True
row_152,152,Ixekizumab 주사제,1,10,3,55364,openai,gpt-4o-mini,True
row_155,155,Mycophenolate sodium 경구제,1,10,3,47537,openai,gpt-4o-mini,True
row_158,158,Risankizumab 주사제,1,10,3,39856,openai,gpt-4o-mini,True
row_157,157,Rabbit anti-human thymocyte immunoglobulin 주사제,1,10,3,45227,openai,gpt-4o-mini,True
row_159,159,Secukinumab 주사제,1,10,3,42234,openai,gpt-4o-mini,True
row_161,161,Tacrolimus 제제,2,10,3,43296,openai,gpt-4o-mini,True
row_162,162,Tocilizumab 주사제,1,10,3,32241,openai,gpt-4o-mini,True
row_163,163,Tofacitinib 경구제,1,10,3,30431,openai,gpt-4o-mini,True
row_160,160,Sirolimus 경구제,1,10,3,58210,openai,gpt-4o-mini,True
row_164,164,Tralokinumab 주사제,1,10,3,52851,openai,gpt-4o-mini,True
row_165,165,Upadacitinib 경구제,1,10,3,48954,openai,gpt-4o-mini,True
row_168,168,Leukotriene 조절제 Montelukast 경구제,1,10,3,33068,openai,gpt-4o-mini,True
row_169,169,Omalizumab 주사제,1,10,3,36400,openai,gpt-4o-mini,True
row_167,167,Epinastine 경구제,1,10,3,60730,openai,gpt-4o-mini,True
row_166,166,Ustekinumab 주사제,1,10,3,63790,openai,gpt-4o-mini,True
row_174,174,Dronedarone 경구제,1,10,3,26210,openai,gpt-4o-mini,True
row_171,171,Caffeine and sodium benzoate 주사제,1,10,3,72205,openai,gpt-4o-mini,True
row_170,170,Pemirolast potassium 시럽제,1,10,3,83406,openai,gpt-4o-mini,True
row_173,173,Arotinolol HCl 경구제,1,10,3,79751,openai,gpt-4o-mini,True
row_172,172,Ubidecarenone 경구제,1,10,3,86886,openai,gpt-4o-mini,True
row_175,175,Esmolol HCl 주사제,1,10,3,78435,openai,gpt-4o-mini,True
row_177,177,Propranolol HCl 경구제,1,10,3,47636,openai,gpt-4o-mini,True
row_176,176,Pilsicainide HCl 경구제,1,10,3,66895,openai,gpt-4o-mini,True
row_178,178,Ambrisentan 경구제,1,10,3,75381,openai,gpt-4o-mini,True
row_181,181,Doxazosin 경구제,1,10,3,51636,openai,gpt-4o-mini,True
row_179,179,Azilsartan medoxomil potassium 경구제,1,10,3,75041,openai,gpt-4o-mini,True
row_184,184,Macitentan 경구제,1,10,3,16918,openai,gpt-4o-mini,True
row_180,180,Bosentan hydrate 경구제,1,10,3,90684,openai,gpt-4o-mini,True
row_182,182,Fimasartan potassium 경구제,1,10,3,77208,openai,gpt-4o-mini,True
row_183,183,Iloprost 흡입액,1,10,3,83258,openai,gpt-4o-mini,True
row_188,188,"Treprostinil 1mg/mL, 2.5mg/mL, 5mg/mL 주사제",1,10,3,43765,openai,gpt-4o-mini,True
row_190,190,Efonidipine 경구제,1,10,3,18274,openai,gpt-4o-mini,True
row_185,185,Phenoxybenzamine 경구제,1,10,3,70051,openai,gpt-4o-mini,True
row_189,189,Zofenopril calcium 경구제,1,10,3,41244,openai,gpt-4o-mini,True
row_186,186,Selexipag 경구제,1,10,3,72855,openai,gpt-4o-mini,True
row_187,187,Sildenafil 경구제,1,10,3,90815,openai,gpt-4o-mini,True
row_192,192,Nifedipine 경구제,1,10,3,45015,openai,gpt-4o-mini,True
row_194,194,Nitroglycerin 주사제,1,10,3,38575,openai,gpt-4o-mini,True
row_191,191,Nicorandil 주사제,1,10,3,56785,openai,gpt-4o-mini,True
row_195,195,Trimetazidine 경구제,1,10,3,43598,openai,gpt-4o-mini,True
row_196,196,Verapamil HCl 주사제,1,10,3,35717,openai,gpt-4o-mini,True
row_193,193,Nimodipine 경구제,1,10,3,74311,openai,gpt-4o-mini,True
row_200,200,Evolocumab 주사제,1,10,3,35940,openai,gpt-4o-mini,True
row_198,198,Clopidogrel 경구제,1,10,3,43732,openai,gpt-4o-mini,True
row_202,202,Ezetimibe+Atorvastatin 복합경구제,1,10,3,15408,openai,gpt-4o-mini,True
row_197,197,Alirocumab 주사제,1,10,3,59173,openai,gpt-4o-mini,True
row_201,201,Ezetimibe 경구제,1,10,3,35057,openai,gpt-4o-mini,True
row_204,204,Lovastatin 경구제,1,10,3,31543,openai,gpt-4o-mini,True
