row_id,row_idx,main_name,brand_count,questions_generated,avg_length,elapsed_ms,provider,model,version
v5_simple_row_2,2,경구용 만성 B형간염치료제,0,14,33.142857142857146,23863,openai,gpt-4o-mini,v5_simple
v5_simple_row_1,1,경구용 뇌대사개선제,0,11,24.363636363636363,33053,openai,gpt-4o-mini,v5_simple
v5_simple_row_3,3,경구용 서방형제제,0,9,35.44444444444444,20255,openai,gpt-4o-mini,v5_simple
v5_simple_row_5,5,경구용 항혈전제,0,13,35.92307692307692,15486,openai,gpt-4o-mini,v5_simple
v5_simple_row_0,0,간장용제,0,12,34.166666666666664,60875,openai,gpt-4o-mini,v5_simple
v5_simple_row_6,6,고가의약품 급여관리에 관한 기준,0,13,30.384615384615383,31250,openai,gpt-4o-mini,v5_simple
v5_simple_row_7,7,고지혈증치료제,0,10,33.9,40186,openai,gpt-4o-mini,v5_simple
v5_simple_row_4,4,경구용 항뇌전증약,0,11,28.545454545454547,68104,openai,gpt-4o-mini,v5_simple
v5_simple_row_8,8,고혈압약제,0,14,36.285714285714285,27157,openai,gpt-4o-mini,v5_simple
v5_simple_row_9,9,골다공증치료제,0,14,32.07142857142857,18175,openai,gpt-4o-mini,v5_simple
v5_simple_row_10,10,국민건강보험 요양급여의 기준에 관한 규칙 제5조제4항에 의하여 중증환자 중 암환자에게 처방·투여하는 약제로서 건강보험심사평가원장이 정하여 공고하는 약제의 범위 및 비용부담,0,11,31.545454545454547,31377,openai,gpt-4o-mini,v5_simple
v5_simple_row_11,11,국소지혈제,0,14,31.142857142857142,16990,openai,gpt-4o-mini,v5_simple
v5_simple_row_12,12,기관지천식 치료용흡입제,0,13,31.076923076923077,17140,openai,gpt-4o-mini,v5_simple
v5_simple_row_15,15,당뇨병용제,0,14,34.285714285714285,17985,openai,gpt-4o-mini,v5_simple
v5_simple_row_13,13,내용액제,0,15,31.866666666666667,24975,openai,gpt-4o-mini,v5_simple
v5_simple_row_14,14,뇌대사제제 및 뇌순환계용약 주사제,0,8,31.875,34683,openai,gpt-4o-mini,v5_simple
v5_simple_row_16,16,동일성분 의약품 중복처방 관리에 관한 기준,0,9,27.333333333333332,26437,openai,gpt-4o-mini,v5_simple
v5_simple_row_17,17,마약성 진통제,0,13,29.153846153846153,25576,openai,gpt-4o-mini,v5_simple
v5_simple_row_18,18,메르스 코로나바이러스,0,14,33.5,28388,openai,gpt-4o-mini,v5_simple
v5_simple_row_20,20,보조생식술에 사용되는 호르몬 약제,0,15,38.13333333333333,22701,openai,gpt-4o-mini,v5_simple
v5_simple_row_19,19,"병용금기 성분, 특정연령대 금기 성분 및 임부금기 성분",0,15,35.4,31861,openai,gpt-4o-mini,v5_simple
v5_simple_row_21,21,비결핵항산균,0,13,37.38461538461539,24323,openai,gpt-4o-mini,v5_simple
v5_simple_row_23,23,비타민제,0,13,31.53846153846154,27726,openai,gpt-4o-mini,v5_simple
v5_simple_row_22,22,비용효과적인 함량 의약품 사용,0,12,34.666666666666664,39315,openai,gpt-4o-mini,v5_simple
v5_simple_row_24,24,안연고,0,10,32.9,27900,openai,gpt-4o-mini,v5_simple
v5_simple_row_25,25,암질환이 아닌 환자에서의 조혈모세포이식 전처치요법,0,8,36.125,23194,openai,gpt-4o-mini,v5_simple
v5_simple_row_26,26,요오드 조영제,0,13,38.69230769230769,28315,openai,gpt-4o-mini,v5_simple
v5_simple_row_27,27,주사제의 자가주사 및 장기처방,0,14,32.0,40098,openai,gpt-4o-mini,v5_simple
v5_simple_row_29,29,폐경 후 호르몬요법 인정기준,0,14,28.928571428571427,21363,openai,gpt-4o-mini,v5_simple
v5_simple_row_31,31,폐동맥고혈압 약제,0,15,39.53333333333333,28051,openai,gpt-4o-mini,v5_simple
v5_simple_row_30,30,폐경기증후군에 투여하는 약제,0,10,37.7,33214,openai,gpt-4o-mini,v5_simple
v5_simple_row_28,28,진해거담제,0,12,26.666666666666668,69956,openai,gpt-4o-mini,v5_simple
v5_simple_row_33,33,항생제,0,14,30.785714285714285,18922,openai,gpt-4o-mini,v5_simple
v5_simple_row_32,32,필수경구약제,0,13,29.53846153846154,25301,openai,gpt-4o-mini,v5_simple
v5_simple_row_34,34,항생제 및 항원충제,0,14,36.142857142857146,22173,openai,gpt-4o-mini,v5_simple
v5_simple_row_35,35,항진균제,0,14,38.642857142857146,23839,openai,gpt-4o-mini,v5_simple
v5_simple_row_36,36,항파킨슨 약제,0,15,36.666666666666664,30388,openai,gpt-4o-mini,v5_simple
v5_simple_row_37,37,향정신성약물,0,13,30.307692307692307,24911,openai,gpt-4o-mini,v5_simple
v5_simple_row_38,38,허가 또는 신고범위 초과 약제 비급여 사용승인에 관한 기준 및 절차,0,10,34.6,28597,openai,gpt-4o-mini,v5_simple
v5_simple_row_39,39,흡입마취에 사용되는 약제,0,12,32.416666666666664,18875,openai,gpt-4o-mini,v5_simple
v5_simple_row_40,40,Probiotics,0,10,38.1,21939,openai,gpt-4o-mini,v5_simple
v5_simple_row_42,42,Ketamine HCl 주사제,1,13,44.53846153846154,24632,openai,gpt-4o-mini,v5_simple
v5_simple_row_43,43,Propofol 주사제,1,10,37.7,20891,openai,gpt-4o-mini,v5_simple
v5_simple_row_41,41,Etomidate 주사제,1,11,42.90909090909091,30403,openai,gpt-4o-mini,v5_simple
v5_simple_row_45,45,Cannabidiol,1,13,33.53846153846154,21592,openai,gpt-4o-mini,v5_simple
v5_simple_row_44,44,Midazolam 주사제,1,12,33.333333333333336,25180,openai,gpt-4o-mini,v5_simple
v5_simple_row_46,46,Carbamazepine 경구제,1,13,45.30769230769231,26191,openai,gpt-4o-mini,v5_simple
v5_simple_row_47,47,Clonazepam 경구제,1,11,33.27272727272727,19605,openai,gpt-4o-mini,v5_simple
v5_simple_row_49,49,Lamotrigine 경구제,1,10,37.9,19859,openai,gpt-4o-mini,v5_simple
v5_simple_row_48,48,Gabapentin 경구제,1,13,42.30769230769231,29043,openai,gpt-4o-mini,v5_simple
v5_simple_row_50,50,Levetiracetam 주사제,1,11,34.36363636363637,23726,openai,gpt-4o-mini,v5_simple
v5_simple_row_51,51,Primidone 경구제,1,10,33.0,18254,openai,gpt-4o-mini,v5_simple
v5_simple_row_52,52,Rufinamide 경구제,1,9,38.44444444444444,15759,openai,gpt-4o-mini,v5_simple
v5_simple_row_54,54,Stiripentol 경구제,1,11,34.36363636363637,25494,openai,gpt-4o-mini,v5_simple
v5_simple_row_55,55,Tetrabenazine 경구제,1,10,45.7,24578,openai,gpt-4o-mini,v5_simple
v5_simple_row_53,53,Sodium valproate 주사제,1,10,37.6,54141,openai,gpt-4o-mini,v5_simple
v5_simple_row_56,56,자오가·우슬·방풍·두충 ·구척·흑두 건조엑스,1,7,29.714285714285715,31177,openai,gpt-4o-mini,v5_simple
v5_simple_row_57,57,편두통 치료제,0,12,32.416666666666664,42889,openai,gpt-4o-mini,v5_simple
